source_image,split,source_group,image_id,width,height,pixel_sha256,annotations
train/images/10187_png.rf.4NmqJvKRUoFtX3tUK80E.png,train,10187_png,img_0ae930d06be18d5ed028,828,696,5763ef8926b8962d632b1704ac125be4b07de1393cb9ca7328917972c68f7fbc,1
train/images/10240_png.rf.MkheyrM0v6eifctCubBG.png,train,10240_png,img_132a85fd4f95e1313f99,900,895,3c5dac3118f027a923d89c97f0e97cccbf01295d3fad5dae79dae868acd43524,1
train/images/10272_png.rf.AhfSEGHykH7FpcLyBxdE.png,train,10272_png,img_9ad1b29abd836db9bb57,573,339,3a35c48e177cbe383ba943a8e48e8a96a6b7ad72c7c570d748b8920f8cf0f1b0,1
train/images/103_jpg.rf.TXtUElv7ae2gt8uVdQjW.jpg,train,103_jpg,img_c539702aad6922576b7d,960,712,50c1deeb182704e27ad594ff59f66f5e42985212a12f6645c793e9fd87e9ab9d,1
train/images/10457_png.rf.JywVEnYGq53UA23W0x8F.png,train,10457_png,img_ca2bf5e703b6b876fb53,1214,1249,686d922e6efadd7f6d2fe9dad03ee86203f740819584557cfd18e024e83d3d10,1
train/images/106-jpg_jpg.rf.N4nLBxEI5Dlp78T8puG7.jpg,train,106-jpg_jpg,img_2bc5e785fd9736c6a116,4000,3000,5ddd6df1a9c3a5c2e3903b845c5749d5916f6a7c0eca798da46843ff533077ce,1
train/images/10646_png.rf.ki7Rfa34DFwJ8oWHl3c6.png,train,10646_png,img_d1dbe442bdc647af42ed,847,770,227cede4963db214c2fc08d3cfe9807cf28b2fa6872fc906b19c0dd954aa1c38,1
train/images/106_jpg.rf.qi6zpNE5wgM9cyuTMt6s.jpg,train,106_jpg,img_ca7e6a059c91dbf79a11,960,708,a753edc456ed43a66c96b0f4aec07c56f0e814f77a5fbc1d50c6f377bf030a5a,1
train/images/1070_png.rf.mZ3eoNCkNM4GpR9B1VdV.png,train,1070_png,img_7da019bc71a082821b53,670,466,dcac454cdf89585c8c0be4921ea3c3b3ae19bd97cdb832bc53dff5e7207af161,1
train/images/107_jpg.rf.ADsn04cMBAOuglDziBy0.jpg,train,107_jpg,img_089d2e041bf1eb650ee7,960,882,506612059e61296d6ebf8876595d15bbde5ba433c99d52798ac54dbe72b98014,1
train/images/108-jpg_jpg.rf.CpZLBCczNR8IVvqrWq1f.jpg,train,108-jpg_jpg,img_a454629d0c6246102883,4000,3000,b34e4964cd37451af616e8f9cd36680e46bbe1019992aeec977828b1536c24ea,1
train/images/108_jpg.rf.dVeQDfOv9I1xuMhp3W4h.jpg,train,108_jpg,img_6dc31eded49b2707bbec,960,720,68131a9de85dff38d91c972997b3023280935a81f04b70a070dfcefff9e61199,1
train/images/10970_png.rf.4rz9oSKTDiLuhZ8MF1Fz.png,train,10970_png,img_5627fdd755e6a439446e,898,1055,9482a07e373f5d23853310d84cb31448f555cf5589d059b6093c89c9a172a9fa,1
train/images/11037_png.rf.O2AiGQamelO1rW1lWoqy.png,train,11037_png,img_1afc2686582a72a0cf7d,646,385,c9d588ad3a212bb57c94566e646c57fb8695b5f9b5a683fc044230443b201a0e,1
train/images/112-jpg_jpg.rf.z95pkiw42J3gLbdQC1zk.jpg,train,112-jpg_jpg,img_1a2351abf97aed14419e,4000,3000,85a7c35cf1cdfe5edd10c4fd1bf75ab572d948a0e4d499ded13f8bc58cc13eff,2
train/images/11773_png.rf.v6EfKsXRrDpf0b3XMfTi.png,train,11773_png,img_7bc27aff7dfb630cf467,651,432,b6c989d392ed442f5aa7ad887b6bc05784a86fa1b1cc929467358ffc8662124f,1
train/images/118-jpg_jpg.rf.vKUU8yx3DJmt9zuFioL2.jpg,train,118-jpg_jpg,img_a0ee92584cc74b17015b,4000,3000,e2418850c870974ee65a8654bb6e4a52dbd9bfd91b5216f1fad425046ab699a3,1
train/images/119-jpg_jpg.rf.boxcIZjUFEZgMY5GqNHS.jpg,train,119-jpg_jpg,img_08a0672df7b40ecae342,4000,3000,4833b27e3c5f8d3dc74358022409f7c42209ddbf5ae391bf788fe8914712e77f,1
train/images/119_jpg.rf.6lHCVWvea4yDhrv27V6V.jpg,train,119_jpg,img_451c43dce8699840b6d9,720,960,11b3a00d11389df4c06c8bb4161e8e84c8ee1c8aa60070e87bd9898f23f4cfc8,1
train/images/12182_png.rf.evQiUY3bLEMXQsjGfMWQ.png,train,12182_png,img_f69918e515cd21c29e8b,706,516,0768630f5d2213d9cc16b3453b8cb01277f1cb63ced7779ca5b2feb4bb40e24d,1
