source_image,split,exif_orientation
train/images/20240211_111449_jpg.rf.nzmtGqmNuTmeRxEXiXW8.jpg,train,6
train/images/20240211_114334_jpg.rf.PeTMZJwnMMZ3Ic9wg9Ug.jpg,train,6
train/images/20240211_114358_jpg.rf.37NQ3qYrZ0UIQMjYja0e.jpg,train,6
train/images/20240211_131550_jpg.rf.7Kih8VRaWMLts2HOQLIg.jpg,train,6
train/images/20240211_131633_jpg.rf.L1eKkinn0obnNRM6NnlO.jpg,train,6
train/images/20240211_131650_jpg.rf.6Do13FzAhnjeSFyEuxyg.jpg,train,6
train/images/20240211_131704_jpg.rf.sfsUIr02MFYurW8Yb7Fg.jpg,train,6
train/images/20240211_131711_jpg.rf.TfNAo6zbizUXnflKdBLd.jpg,train,6
train/images/20240211_142049_jpg.rf.dvQzSUr5hhvL126kkqAi.jpg,train,6
train/images/20240211_143608_jpg.rf.yhYLQxJTECI6y8a02xB5.jpg,train,6
train/images/20240211_143910_jpg.rf.63o5CyAgCCZIn4wwljSw.jpg,train,6
train/images/20240211_143922_jpg.rf.o6GVFdz3SHPHVuw3mFVx.jpg,train,6
train/images/20240211_143930_jpg.rf.zGcXsHl77pHmdGMMKxNy.jpg,train,6
train/images/20240211_144252_jpg.rf.hYA8qPVrWHU1EAXpHud2.jpg,train,6
train/images/20240211_144257_jpg.rf.QfJech7sX5zPSmMxgm5J.jpg,train,6
train/images/20240211_144318_jpg.rf.SmOeQAexrajBSWjkcjPW.jpg,train,6
train/images/20240211_144402_jpg.rf.VrUfYI7Qdm9JKp8wT2BW.jpg,train,6
train/images/20240211_144406_jpg.rf.9dMqBDGSd283KFg2EWpA.jpg,train,6
train/images/20240211_144510_jpg.rf.vsGDy9Mk1SrwRd4ZE8BJ.jpg,train,6
train/images/20240211_144522_jpg.rf.Tlm9cPwjBV8DFAXwW7HZ.jpg,train,6
train/images/20240211_144533_jpg.rf.X6l8BFsKwBzl53kK6Xul.jpg,train,6
train/images/20240211_144618_jpg.rf.Nr0Pxk4aQzhSvekXDptL.jpg,train,6
train/images/20240211_144636_jpg.rf.rSJQowBM6cJaKbhmYRHy.jpg,train,6
train/images/20240211_144711_jpg.rf.4JnHGzm6jHJNbRQHZsw3.jpg,train,6
train/images/20240211_144805_jpg.rf.8zXNBLGnCNKj4j1N1Kce.jpg,train,6
train/images/20240211_144941_jpg.rf.ec0R0Rcyex0mwbogZVRZ.jpg,train,6
train/images/20240211_145011_jpg.rf.8dU4qvzyLiiUAN0DCZt8.jpg,train,6
train/images/20240211_145328_jpg.rf.6kelLfLBLXaKWCDelqbx.jpg,train,6
