split,label
train,train/labels/100_jpg.rf.zSQGHSLFn0ljedpjS8GG.txt
train,train/labels/101_jpg.rf.U0MF9soZp2ecMIxa6cxe.txt
train,train/labels/10463_png.rf.EJbCVCfXGUi6xrD4iA0k.txt
train,train/labels/105-jpg_jpg.rf.DXZEyts5tbVyUesVIbqX.txt
train,train/labels/105_jpg.rf.O13XVmSt5vHhrkqlC1ko.txt
train,train/labels/10727_png.rf.l9an5LilqOtC5GxZWles.txt
train,train/labels/10819_png.rf.VGt1GrmV2bRhIGk72iYQ.txt
train,train/labels/10862_png.rf.UXcUTDUsCPdOYCpE7wzV.txt
train,train/labels/109_jpg.rf.ZhTHsbF2n2U0gw1rZOhD.txt
train,train/labels/10_jpg.rf.IizlsKwhvHcVo2tRo977.txt
train,train/labels/110-jpg_jpg.rf.7HpC81StftFrRtwjniLt.txt
train,train/labels/11173_png.rf.ReCR5T3sT0kBNGWm74FN.txt
train,train/labels/111_jpg.rf.7FuGvpk8Ic96pvpzZ0OK.txt
train,train/labels/1124_png.rf.gMPAYszx8Wi2ZawmiG0a.txt
train,train/labels/1131_png.rf.8cQyZJKmRtyBAL0MJt98.txt
train,train/labels/113_jpg.rf.heW9U01060sNaiVMuZwJ.txt
train,train/labels/114-jpg_jpg.rf.rXCt2JOGcuWaSSsfFz0D.txt
train,train/labels/117-jpg_jpg.rf.A2b5GsIR0HnE2EA67eWA.txt
train,train/labels/11753_png.rf.yqxUzfCMmQf5Txbq0s06.txt
train,train/labels/11780_png.rf.wMGQ7RBJ2MmfDT7hWC0h.txt
train,train/labels/11882_png.rf.rbOy1ih9TSUx9zu4h5Wy.txt
train,train/labels/121_jpg.rf.Pdv58nZTtCHM0hE9ZFwp.txt
train,train/labels/122-jpg_jpg.rf.jbl36zufUkZTyUOhF8Ua.txt
train,train/labels/12346_png.rf.lkvNYJjmfMDskAKfTXgn.txt
train,train/labels/12428_png.rf.JrIquiTGhayVARqTcLfJ.txt
train,train/labels/125-jpg_jpg.rf.j8VCnK1V5c3CfCtE5vpk.txt
train,train/labels/127-jpg_jpg.rf.HyLqsWqUe6MqyNUjKsZr.txt
train,train/labels/12728_png.rf.RTGNFr92v8uV7zgtMkxU.txt
train,train/labels/12969_png.rf.lyKoetyYE6WYZvRU5h7b.txt
train,train/labels/130-jpg_jpg.rf.KCXZeZfwpR4Bi3AMJ55M.txt
train,train/labels/13028_png.rf.oG2KFWTOMN5U2KXCW6xn.txt
train,train/labels/13164_png.rf.UHCdWXLgoTedjLngyfSP.txt
train,train/labels/13210_png.rf.72ZUirRO23HkWSTJfoni.txt
train,train/labels/13292_png.rf.8lnLj2jkFFlqUpzlxeX1.txt
train,train/labels/1340_png.rf.9GFZG1jjshTDs32dvQqd.txt
train,train/labels/135-jpg_jpg.rf.LH7XuaZwSupetVZBtj9X.txt
train,train/labels/1359_png.rf.DGjpsnTsRW7gVjLQs6bs.txt
train,train/labels/13682_png.rf.OE4xMtgRAMikJFDW2F3p.txt
